PERIODO|ESTU_CONSECUTIVO|ESTU_ESTUDIANTE|ESTU_EDAD|ESTU_TIPO_DOCUMENTO|ESTU_PAIS_RESIDE|ESTU_GENERO|ESTU_FECHA_NACIMIENTO|ESTU_ETNIA|ESTU_LIMITA_MOTRIZ|ESTU_LIMITA_CONDICIONESPECIAL|ESTU_LIMITA_SDOWN|ESTU_LIMITA_AUTISMO|COLE_COD_MCPIO_UBICACION|ESTU_RESIDE_MCPIO|ESTU_RESIDE_DEPTO|ESTU_COD_RESIDE_MCPIO|ESTU_ZONA_RESIDE|COLE_COD_DANE_INSTITUCION|COLE_COD_ICFES|COLE_NOMBRE_SEDE|COLE_JORNADA|COLE_GENERO|COLE_CARACTER|COLE_NATURALEZA|COLE_BILINGUE|COLE_CALENDARIO|COLE_AREA_UBICACION|COLE_DEPTO_UBICACION|COLE_MCPIO_UBICACION|ESTU_COD_RESIDE_DEPTO|ESTU_AREA_RESIDE|ESTU_PRIVADO_LIBERTAD|ESTU_ACTUALMENTE_ESTUDIA|ESTU_ANO_TERMINO_BACHILL|FAMI_CUARTOS_HOGAR|FAMI_ESTRATO_VIVIENDA|ESTU_GRADO_CURSA_ACTUALMENTE|ESTU_SE_GRADUO_BACHILLER|FAMI_INGRESO_FMILIAR_MENSUAL|ESTU_MES_TERMINO_BACHILL|FAMI_EDUCA_MADRE|FAMI_EDUCA_PADRE|ESTU_OCUPACION_ACTUAL|FAMI_OCUPA_MADRE|FAMI_OCUPA_PADRE|ESTU_OTRO_PLANTEL|ESTU_COD_OTRO_PAIS_PLANTEL|FAMI_PERSONAS_HOGAR|FAMI_PISOSHOGAR|ESTU_COD_PLANTEL|FAMI_NIVEL_SISBEN|FAMI_AUTOMOVIL|FAMI_COMPUTADOR|FAMI_DVD|FAMI_HORNO|FAMI_MICROONDAS|FAMI_INTERNET|FAMI_LAVADORA|FAMI_NEVERA|FAMI_TELEFONO_FIJO|FAMI_TELEFONO_CELULAR|FAMI_SERVICIO_TELEVISION|ESTU_VECES_ESTADO|ESTU_COD_DEPTO_PRESENTACION|ESTU_COD_MCPIO_PRESENTACION|ESTU_MCPIO_PRESENTACION|ESTU_DEPTO_PRESENTACION|DECIL_LECTURA_CRITICA|DECIL_MATEMATICAS|DECIL_C_NATURALES|DECIL_SOCIALES_CIUDADANAS|DESEMP_INGLES|DECIL_INGLES|DECIL_RAZONA_CUANT|DECIL_COMP_CIUDADANA
20142|PRESABER20142000001|INDIVIDUAL|16|TI|1|M|29/07/1998|||||||PASTO|NARIÑO|52001|10|||||||OTRO||||||52|U|N|4||2|3||N|3||10|10|2|4|5||1|4|4|17687|5|S|S|S|S|S|S|S|S|S|S|S|NINGUNA|52|52001|PASTO|NARIÑO|D10|D10|D10|D09|B1|D10|D10|D10
20142|PRESABER20142000002|INDIVIDUAL|15|TI|1|F|18/10/1999|||||||LA PLATA|HUILA|41396|10|||||||OTRO||||||41|U|N|4||3|1||N|1||5|5|2|6|2||1|5|2|1473|2|N|N|N|N|N|N|N|S|S|S|N|NINGUNA|41|41396|LA PLATA|HUILA|D07|D06|D07|D08|A-|D03|D08|D09
20142|PRESABER20142000003|INDIVIDUAL|17|TI|1|M|14/04/1997|100||||||QUIMBAYA|QUINDIO|63594|10|||||||OTRO||||||63|U|N|4||3|2||N|2||5|11|2|10|12||1|5|2|4342|1|N|S|S|N|N|S|N|S|N|S|S|NINGUNA|63|63594|QUIMBAYA|QUINDIO|D09|D08|D03|D05|A-|D05|D09|D05
20142|PRESABER20142000004|INDIVIDUAL|16|TI|1|M|23/09/1998|||||||BOGOTÁ D.C.|BOGOTA|11001|9|||||||OTRO||||||11|U|N|4||3|3||N|3||10|9|2|5|5|Colegio Presentación Centro|1|5|4||4|S|S|S|N|N|S|S|S|S|S|S|NINGUNA|11|11001|BOGOTÁ D.C.|BOGOTA|D10|D10|D10|D10|B1|D10|D10|D10
20142|PRESABER20142000005|INDIVIDUAL|16|TI|1|F|23/09/1998|||||||BOGOTÁ D.C.|BOGOTA|11001|9|||||||OTRO||||||11|U|N|4||3|3||N|3||9|9|2|5|5|Colegio Presentación Centro|1|5|4||4|S|S|S|N|N|S|S|S|S|S|S|NINGUNA|11|11001|BOGOTÁ D.C.|BOGOTA|D07|D07|D07|D05|A2|D10|D06|D07
20142|PRESABER20142000006|INDIVIDUAL|17|TI|1|F|05/08/1997|100||||||PUERTO COLOMBIA|ATLANTICO|08573|1|||||||OTRO||||||8|U|N|4||3|4||N|7||9|10|2|2|4||1|3|4|11064|5|S|S|S|S|S|S|S|S|S|S|S|UNA|08|08001|BARRANQUILLA|ATLANTICO|D07|D09|D06|D06|B1|D10|D10|D05
20142|PRESABER20142000007|INDIVIDUAL|15|TI|1|F|03/07/1999|||||||ELIAS|HUILA|41244|10|||||||OTRO||||||41|U|N|4||3|2||N|2||5|3|2|5|9||1|2|4|1846|1|N|S|N|N|N|N|N|S|N|S|N|NINGUNA|41|41807|TIMANA|HUILA|D05|D09|D08|D06|A1|D06|D10|D06
20142|PRESABER20142000008|INDIVIDUAL|16|TI|1|F|20/09/1998|||||||BOGOTÁ D.C.|BOGOTA|11001|5|||||||OTRO||||||11|U|N|4||3|2||N|4||9|9|2|3|3||1|5|4|9216|5|S|S|S|S|S|S|S|S|S|S|S|NINGUNA|11|11001|BOGOTÁ D.C.|BOGOTA|D09|D06|D10|D09|B1|D10|D09|D09
20142|PRESABER20142000009|INDIVIDUAL|15|TI|1|M|09/11/1998|||||||BARRANQUILLA|ATLANTICO|08001|1|||||||OTRO||||||8|U|N|4||3|5||N|7||8|9|2|2|1|Corporacion cultural colegio aleman|1|4|2||5|S|S|S|S|S|S|S|S|S|S|S|NINGUNA|08|08001|BARRANQUILLA|ATLANTICO|D06|D10|D07|D08|B1|D10|D09|D07
20142|PRESABER20142000010|INDIVIDUAL|16|TI|1|M|14/05/1998|||||||BARRANQUILLA|ATLANTICO|08001|1|||||||OTRO||||||8|U|N|4||2|4||N|6||9|8|2|8|9||1|4|4|4427|5|S|S|S|S|S|S|S|S|S|S|S|NINGUNA|08|08001|BARRANQUILLA|ATLANTICO|D09|D08|D04|D09|A2|D09|D08|D10
